Version,DOT,Location,Subject,Sex,Age,Condition,Order,DOB,Knowledge,Knowledge2,Notes,Exclude,Experimenter,Other
pilot2,8/7/19,MSI,1,M,8.75,Knowledge,1,10/13/10,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,4,F,6.25,Knowledge,1,4/23/13,Disfluent,NA,,0,BM,
pilot2,8/7/19,MSI,6,M,9.42,Knowledge,1,2/16/10,Fluent,NA,,0,BM,(guess prompt)
pilot2,8/7/19,MSI,5,F,10.25,Knowledge,1,05/02/09,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,9,F,6.25,Knowledge,1,4/18/13,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,12,M,7.17,Knowledge,1,5/13/12,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,14,F,8.75,Knowledge,1,10/21/10,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,16,F,5.33,Knowledge,1,3/20/14,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,17,M,6.67,Knowledge,1,11/17/12,Disfluent,NA,,0,BM,
pilot2,8/10/19,MSI,2,M,6.67,Knowledge,1,11/15/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,1,M,9.25,Knowledge,1,5/8/10,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,4,F,7.83,Knowledge,1,10/1/11,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,7,M,10.42,Knowledge,1,2/28/09,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,8,F,6.92,Knowledge,1,09/02/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,9,F,7.42,Knowledge,1,02/29/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,10,M,9.33,Knowledge,1,03/16/10,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,11,F,5.25,Knowledge,1,05/08/14,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,15,F,7.5,Knowledge,1,1/12/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,16,F,8.17,Knowledge,1,5/17/11,Fluent,NA,,0,BM,
pilot2,8/14/19,MSI,4,F,4.92,Knowledge,1,9/3/14,Disfluent,NA,,0,JZ,
pilot2,8/14/19,MSI,5,F,7.42,Knowledge,1,3/8/12,Fluent,NA,,0,JZ,
pilot2,8/14/19,MSI,7,F,5.92,Knowledge,1,9/9/13,Fluent,NA,,0,JZ,
pilot4,9/29/19,MSI,1,M,4.92,ignorance,1,10/27/14,fluent,NA,,1,BM,"exclude: exp error in first read through, bad"
pilot4,9/29/19,MSI,2,F,8.67,ignorance,2,1/11/11,fluent,NA,,0,BM,
pilot4,9/29/19,MSI,3,F,6.17,ignorance,3,7/3/13,disfluent,NA,,0,BM,
pilot4,9/29/19,MSI,4,F,5.75,ignorance,4,12/13/13,fluent,NA,,0,BM,
pilot4,9/29/19,MSI,7,F,4.67,ignorance,1,1/27/15,disfluent,NA,,0,BM,
pilot4,9/29/19,MSI,10,F,7.92,ignorance,2,10/14/11,disfluent,NA,,0,BM,
pilot4,9/29/19,MSI,11,M,5.92,ignorance,3,10/3/13,disfluent,NA,"""anteater""",0,BM,"prompt to answer, reread story"
pilot4,9/29/19,MSI,12,M,5.58,ignorance,4,2/27/14,disfluent,NA,,0,BM,
pilot4,9/29/19,MSI,15,M,8.42,ignorance,1,4/18/11,disfluent,NA,"""he said more of a sentence, wasn't much to go on""",0,BM,
pilot4,9/29/19,MSI,17,F,7.33,ignorance,2,5/4/12,fluent,NA,"""None!""   ",0,BM,"Prompt to give an 2AFC answer, reread story"
pilot4,10/5/19,MSI,2,F,4.17,ignorance,3,7/6/15,disfluent,NA,,0,BM,
pilot4,10/5/19,MSI,3,M,6.5,ignorance,4,3/13/13,fluent,NA,,0,BM,
pilot4,10/5/19,MSI,7,F,8.08,ignorance,1,8/26/11,fluent,NA,"""hmm..."" [long pause]",0,BM,
pilot4,10/5/19,MSI,10,M,7.75,ignorance,2,12/20/11,fluent,NA,"""einy meiny miney moe"", ""just guessed""",0,BM,
pilot4,10/5/19,MSI,9,F,9.33,ignorance,3,5/13/10,disfluent,NA,,0,BM,
pilot4,10/5/19,MSI,12,F,8.75,ignorance,4,1/5/11,disfluent,NA,"""he at least thought about it cause he said uh""",0,BM,
pilot4,10/5/19,MSI,15,F,7.5,ignorance,1,3/26/12,disfluent,NA,"""not sure""",0,HK,
pilot4,10/5/19,MSI,20,F,4.17,ignorance,2,7/7/15,fluent,NA,,0,BM,
pilot4,10/5/19,MSI,22,F,6,ignorance,3,9/24/13,disfluent,NA,,0,BM,
pilot4,10/5/19,MSI,21,F,8.75,ignorance,4,1/1/11,disfluent,NA,"""said uh"" ""thinking""",0,BM,
pilot4,10/5/19,MSI,23,F,5.67,ignorance,1,1/9/14,fluent,NA,,0,BM,
pilot4,10/5/19,MSI,24,M,4,ignorance,2,9/16/15,fluent,NA,,0,BM,
pilot4,10/5/19,MSI,25,F,6.75,ignorance,3,12/13/12,disfluent,NA,"""his outfit he looks like a vet at the zoo""",0,BM,
Final,10/12/2019,MSI,9,M,6.430136986,Knowledge,1,5/9/13,Fluent,Fluent,"Because he said ""uh""",0,BM,
Final,10/12/2019,MSI,11,F,6.835616438,Knowledge,2,12/12/12,Fluent,Fluent,"Because she said it right away. She said ""uh"" she had to think",0,BM,
Final,10/12/2019,MSI,14,F,4.580821918,Knowledge,3,3/15/2015,Fluent,Fluent,because she knows cow,0,BM,
Final,10/12/2019,MSI,15,F,5.895890411,Knowledge,4,11/20/13,Fluent,Fluent,because he said uh,0,BM,
Final,10/12/2019,MSI,16,M,8.030136986,Ignorance,1,10/3/11,Disfluent,Disfluent,"she really didn't know, she said ""uh"" so she knows",0,BM,
Final,10/12/2019,MSI,18,F,6.619178082,Ignorance,2,3/2013,Fluent,Fluent,she said uh... she had to think,0,BM,
Final,10/12/2019,MSI,19,F,7.810958904,Ignorance,3,12/22/11,Fluent,Fluent,"because she said ""uh""",0,BM,
Final,10/12/2019,MSI,20,M,5.495890411,Ignorance,4,4/15/14,Disfluent,Fluent,"because she said ""uh""",0,BM,
Final,10/12/2019,MSI,22,F,8.010958904,Knowledge,1,10/10/11,Fluent,Fluent,"said ""uh""",0,BM,
Final,10/12/2019,MSI,24,F,4.569863014,Knowledge,2,3/19/15,Fluent,Fluent,"said ""uh""",0,BM,
Final,10/12/2019,MSI,23,F,8.101369863,Knowledge,3,9/7/11,Fluent,Fluent,she paused in the middle,0,BM,
Final,10/12/2019,MSI,25,F,8.257534247,Knowledge,4,7/12/11,Fluent,Fluent,"said ""uh""",0,BM,
Final,10/12/2019,MSI,27,M,8.136986301,Ignorance,1,8/25/11,Disfluent,Disfluent,,0,BM,
Final,10/12/2019,MSI,31,F,5.821917808,Ignorance,2,12/17/13,Disfluent,Disfluent,uh... i don't know,0,BM,
Final,11/9/2019,MSI,1,M,6.150684932,Knowledge,1,9/16/2013,Fluent,Fluent,because it's a cow,0,JS,"""He wasn't answering and prompted by parent"", BM folowed up with JS, not P not excluded, non-worrisome parent prompting only on why question"
Final,11/9/2019,MSI,2,F,8.024657534,Knowledge,2,11/2/2011,Fluent,Fluent,bc she's just saying and not thinking,0,JS,
Final,11/9/2019,MSI,5,M,6.147945205,Knowledge,3,9/17/2013,Fluent,Fluent,Idk why,0,JS,
Final,11/9/2019,MSI,4,M,6.147945205,Knowledge,4,9/17/2013,Disfluent,Disfluent,,0,JS,"Misunderstood Q's, thought I was pointing to dif animals--> BM followed up with JS, P was not excluded not exp error"
Final,11/9/2019,MSI,6,M,7.884931507,Ignorance,1,12/23/2011,Fluent,Fluent,Because she didn't say um,0,JS,
Final,11/9/2019,MSI,8,M,5.276712329,Ignorance,2,8/2014,Disfluent,Disfluent,Because she knows things,0,JS,
Final,11/9/2019,MSI,7,M,7.276712329,Ignorance,3,8/2012,Disfluent,Disfluent,Idk,0,JS,
Final,11/9/2019,MSI,9,M,4.82739726,Ignorance,4,1/12/2015,Fluent,Disfluent,Idk,0,JS,
Final,,,,,,,,,,,,1,JS,"Not parent/legal guardian, no data collected"
Final,11/9/2019,MSI,10,M,7.260273973,Knowledge,2,8/7/2012,Fluent,Fluent,... easy to pronounce; other girl didn't know how to pronounce cow,0,JS,
Final,11/9/2019,MSI,13,M,6.97260274,Knowledge,3,11/20/2012,Fluent,Fluent,Because she didn't say um,0,JS,
Final,11/9/2019,MSI,15,F,4.953424658,Knowledge,4,11/27/2014,Disfluent,Fluent,Because she has a pig,0,JS,
Final,11/9/2019,MSI,17,M,9.084931507,Ignorance,1,10/11/2010,Fluent,Disfluent,"She knows it, but she forgot and she's trying to remember",0,JS,
Final,11/9/2019,MSI,16,F,7.312328767,Ignorance,2,7/19/2012,Fluent,Disfluent,Idk,0,JS,
Final,11/9/2019,MSI,18,M,5.909589041,Ignorance,3,12/13/2013,Disfluent,Fluent,,0,JS,"""Neither"" --> given forced choice"
Final,11/9/2019,MSI,20,F,4.676712329,Ignorance,4,3/8/2015,Disfluent,Fluent,,0,JS,"Didn't choose either person, so made to pick randomly"
Final,11/11/19,Lab,NA,M,7.210958904,Ignorance,1,8/27/12,Disfluent,Disfluent,Said um,0,BM,
Final,11/13/19,Lab,NA,M,6.120547945,Ignorance,2,10/1/2013,Disfluent,Disfluent,because she knows the animal,0,BM,
Final,11/14/19,Lab,NA,M,4.780821918,Ignorance,3,2/3/15,Fluent,Disfluent,not sure,0,BM,
Final,11/15/19,Lab,NA,M,7.123287671,Ignorance,4,10/2/12,Disfluent,Disfluent,really thought about it,0,BM,
Final,11/15/19,Lab,NA,M,5.24109589,Ignorance,1,8/20/14,Fluent,Disfluent,idk,0,BM,"2 why prompts, dk"
Final,11/18/19,Lab,NA,F,6.071232877,Ignorance,2,10/24/13,Disfluent,Disfluent,idk,0,BM,"reread question, prompt"
Final,11/21/19,Lab,NA,M,6.224657534,Knowledge,2,9/1/13,Disfluent,Disfluent,"cow is a harder word, harder to say, babies can't say it",0,BM,
Final,12/2/19,Lab,NA,F,7.235616438,Knowledge,2,9/8/12,Fluent,Fluent,,0,BM,
Final,12/4/19,Lab,NA,M,7.210958904,Knowledge,1,9/19/12,Fluent,Fluent,"she didn't need to stop saying what she was saying, she said uh",0,BM,
Final,12/13/19,Lab,NA,M,7.315068493,Knowledge,2,8/21/12,Fluent,Fluent,,0,HK,
Final,12/14/19,MSI,1,F,6.052054795,Knowledge,1,11/26/13,Fluent,Fluent,she said it quicker!,0,HK,
Final,12/14/19,MSI,2,M,4.819178082,Knowledge,2,2/19/15,Fluent,Disfluent,,0,HK,
Final,12/14/19,MSI,3,M,5.4,Knowledge,3,7/22/14,Fluent,Disfluent,,0,HK,
Final,12/14/19,MSI,5,M,6.750684932,Knowledge,4,3/16/13,Fluent,Fluent,,0,HK,
Final,12/14/19,MSI,6,M,6.75890411,Ignorance,1,3/13/13,Fluent,Disfluent,said i don't know first,0,HK,
Final,12/14/19,MSI,7,F,6.109589041,Ignorance,2,11/5/13,Disfluent,Disfluent,,0,HK,
Final,12/14/19,MSI,8,F,9.147945205,Ignorance,3,10/23/10,Fluent,Fluent,,0,HK,
Final,12/14/19,MSI,10,F,5.832876712,Ignorance,4,2/14/14,Disfluent,Disfluent,,0,HK,
Final,12/14/19,MSI,11,M,4.939726027,Knowledge,1,1/6/15,Fluent,Disfluent,,0,HK,
Final,12/14/19,MSI,13,M,4.580821918,Knowledge,2,5/17/15,Fluent,Fluent,,0,HK,
Final,12/14/19,MSI,14,F,9.717808219,Knowledge,3,3/29/10,Fluent,Fluent,,0,HK,
Final,12/14/19,MSI,9,F,9.632876712,Knowledge,4,4/29/10,Fluent,Fluent,,0,HK,
Final,12/17/19,MSI,1,F,4.8,Ignorance,1,3/1/15,Disfluent,Disfluent,,0,HK,Only hears english 25% of the time (german)
Final,12/17/19,MSI,2,M,4.676712329,Ignorance,2,4/15/15,Disfluent,Fluent,,0,HK,
Final,12/17/19,MSI,3,M,4.232876712,Ignorance,3,9/24/15,Fluent,Fluent,,0,HK,
Final,12/17/19,MSI,4,M,5.753424658,Ignorance,4,3/18/14,Fluent,Fluent,,0,HK,
Final,12/17/19,MSI,5,F,6.098630137,Knowledge,1,11/12/13,Disfluent,Disfluent,,0,HK,
Final,12/17/19,MSI,8,M,9.079452055,Knowledge,2,11/20/10,Disfluent,Disfluent,,0,HK,
Final,12/17/19,MSI,9,M,4.432876712,Knowledge,3,7/13/15,Fluent,Fluent,,0,HK,
Final,1/20/20,Lab,Lab,F,4.04109589,Ignorance,3,1/6/16,Fluent,Fluent,[no response],0,BM,
Final,1/20/20,Lab,Lab,M,6.18630137,Ignorance,4,11/14/13,Fluent,Fluent,"[changed to Disfluent after Why] then said ""was trying to think about it, she was just lazy",0,BM,
Final,1/20/20,Lab,Lab,M,5.04109589,Knowledge,1,1/6/15,Fluent,Fluent,"she didn't say ""A... uh...""",0,BM,
Final,1/18/20,MSI,3,F,8.424657534,Knowledge,1,8/18/11,Fluent,Fluent,,0,BM,
Final,1/18/20,MSI,2,M,7.01369863,Knowledge,2,1/14/13,Fluent,Fluent,,0,BM,
Final,1/18/20,MSI,5,M,6.961643836,Knowledge,3,2/2/13,Fluent,Fluent,because she really had to think about it...,0,BM,
Final,1/18/20,MSI,6,F,6.18630137,Knowledge,4,11/12/13,Disfluent,Fluent,because she said uh...,0,BM,messed up trial 1 dislfuency reading
Final,1/18/20,MSI,9,F,9.81369863,Ignorance,1,3/29/10,Disfluent,Disfluent,,0,BM,
Final,1/18/20,MSI,7,F,9.81369863,Ignorance,2,3/29/10,Fluent,Disfluent,"sarcastic, saying uh sarcastically cause she does know it, it's in quotation marks cause its sarcastic like 'i don't know'",0,BM,
Final,1/18/20,MSI,10,M,4.994520548,Ignorance,3,1/21/15,Fluent,Fluent,,0,BM,
Final,1/18/20,MSI,11,M,4.969863014,Ignorance,4,1/30/15,Fluent,Disfluent,because she might know,0,BM,
Final,1/18/20,MSI,12,M,5.630136986,Knowledge,1,6/3/14,Fluent,Fluent,because because she said this one is a cow [reading],0,BM,
Final,1/18/20,MSI,8,F,8.561643836,Knowledge,2,6/29/11,Fluent,Fluent,"because she said it right away, she had to think about it",0,BM,
Final,1/18/20,MSI,14,M,5.246575342,Knowledge,3,10/21/14,Fluent,Fluent,,0,BM,
Final,1/18/20,MSI,13,F,7.468493151,Ignorance,1,8/1/12,Fluent,Fluent,,0,BM,
Final,1/31/20,Lab,Lab,M,4.416438356,Knowledge,2,9/2/15,Fluent,Fluent,[no response],0,HK,
Final,1/31/20,Lab,Lab,F,7.498630137,Knowledge,3,8/3/12,Fluent,Fluent,,0,HK,
Final,1/31/20,Lab,Lab,F,6.380821918,Knowledge,4,9/15/13,Fluent,Fluent,,0,HK,
Final,2/3/20,Lab,Lab,M,9.671232877,Knowledge,3,6/5/10,Fluent,Fluent,She really had ot think about it. she just said it,0,BM,
Final,2/3/20,Lab,Lab,M,7.945205479,Knowledge,4,2/25/12,Fluent,Fluent,she took a long time,0,BM,
Final,2/3/20,Lab,Lab,M,4.205479452,Ignorance,1,11/21/15,Fluent,Fluent,,0,HK,
Final,2/3/20,Lab,Lab,F,4.575342466,Ignorance,3,7/9/15,Fluent,Disfluent,idk,0,HK,
Final,2/3/20,Lab,Lab,M,7.575342466,Ignorance,2,7/9/12,Fluent,Fluent,she had to think,0,BM,
Final,2/5/20,Lab,Lab,M,4.490410959,Ignorance,4,8/11/15,Disfluent,Disfluent,,0,HK,
Final,2/6/20,Lab,Lab,M,6.775342466,Ignorance,1,4/30/13,Disfluent,Disfluent,he said uh,0,HK,
Final,2/6/20,Lab,Lab,M,6.775342466,Ignorance,2,4/30/13,Disfluent,Disfluent,"she said uh, idk",0,HK,
Final,2/10/20,Lab,Lab,M,9.030136986,Ignorance,3,2/1/11,Disfluent,Disfluent,he was thinking about it,0,HK,
Final,2/10/20,Lab,Lab,F,7.865753425,Ignorance,4,4/1/12,Fluent,Fluent,she looks blank! like blanked out,0,HK,
Final,2/10/20,Lab,Lab,F,6.18630137,Ignorance,1,12/5/13,Disfluent,Disfluent,she looks like she knows,0,HK,
Final,2/10/20,Lab,Lab,F,5.961643836,Ignorance,2,2/25/14,Disfluent,Disfluent,idk,0,HK,
Final,2/17/20,Lab,Lab,F,6.41369863,Knowledge,4,9/20/13,Disfluent,Fluent,because cows can be in many different colors so it can be hard to figure out,1,HK,Extra kid in this age range
Final,2/17/20,Lab,Lab,F,9.915068493,Knowledge,1,3/22/10,Fluent,Fluent,they hesitated,0,HK,
Final,2/17/20,Lab,Lab,F,7.821917808,Knowledge,2,4/24/12,Fluent,Fluent,,1,HK,Extra kid in this age range
Final,2/17/20,Lab,Lab,M,4.526027397,Knowledge,3,8/10/15,Fluent,Fluent,,0,HK,
Final,2/17/20,Lab,Lab,M,7.517808219,Knowledge,4,8/13/12,Fluent,Fluent,,1,HK,Extra kid in this age range
Final,2/17/20,Lab,Lab,F,7.832876712,Knowledge,1,4/20/12,Fluent,Fluent,,1,EM,Extra kid in this age range
Final,2/17/20,Lab,Lab,F,6.221917808,Knowledge,2,11/29/13,Disfluent,Fluent,They just seem smarter,1,EM,Extra kid in this age range
Final,2/17/20,Lab,Lab,F,6.61369863,Knowledge,3,7/9/13,Fluent,Fluent,,1,EM,Extra kid in this age range
Final,2/17/20,Lab,Lab,M,10.75890411,Knowledge,4,5/18/09,Fluent,Fluent,,1,EM,Too old
Final,2/18/20,Lab,Lab,M,5.830136986,Knowledge,1,4/22/14,Fluent,Fluent,Cow is bigger than pig,0,BM,
Final,2/18/20,Lab,Lab,F,4.2,Knowledge,2,12/8/15,Disfluent,Disfluent,,0,DL,
Final,2/29/20,MSI,3,M,4.515068493,Ignorance,1,8/26/15,Fluent,Disfluent,,1,BM,"finished this cell already, extra kid"
Final,2/29/20,MSI,15,F,7.238356164,Ignorance,2,12/5/12,Fluent,Disfluent,,0,BM,
Final,2/29/20,MSI,7,M,7.224657534,Ignorance,3,12/10/12,Fluent,Disfluent,,0,BM,
Final,2/29/20,MSI,26,F,8.208219178,Ignorance,4,12/17/11,Fluent,Fluent,,0,BM,
Final,2/29/20,MSI,1,F,4.194520548,Knowledge,1,12/21/15,Fluent,Disfluent,cause,0,BM,
Final,2/29/20,MSI,2,F,5.945205479,Knowledge,2,3/22/14,Fluent,Fluent,she didn't have to think about it,0,BM,
Final,2/29/20,MSI,6,F,5.934246575,Knowledge,4,3/26/14,Disfluent,Fluent,,0,BM,chose left side
Final,2/29/20,MSI,11,F,5.476712329,Knowledge,3,9/9/14,Fluent,Fluent,"said it right away, didnt say uh",0,BM,
Final,2/29/20,MSI,14,M,8.065753425,Ignorance,1,2/7/12,Disfluent,Disfluent,he wasnt sure,0,BM,
Final,2/29/20,MSI,18,M,9.747945205,Ignorance,2,6/3/10,Fluent,Fluent,,0,BM,